JobID|JobName|Partition|State|Start|End|AllocNodes|AllocCPUS|NodeList
404599|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:56:15|2024-03-20T21:56:51|1|16|shadowfax
404599.batch|batch||COMPLETED|2024-03-20T21:56:15|2024-03-20T21:56:51|1|16|shadowfax
404599.extern|extern||COMPLETED|2024-03-20T21:56:15|2024-03-20T21:56:51|1|16|shadowfax
404605|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:57:39|2024-03-20T21:58:16|1|16|shadowfax
404605.batch|batch||COMPLETED|2024-03-20T21:57:39|2024-03-20T21:58:16|1|16|shadowfax
404605.extern|extern||COMPLETED|2024-03-20T21:57:39|2024-03-20T21:58:16|1|16|shadowfax
404630|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T21:59:12|2024-03-20T22:43:21|1|16|shadowfax
404630.batch|batch||COMPLETED|2024-03-20T21:59:12|2024-03-20T22:43:21|1|16|shadowfax
404630.extern|extern||COMPLETED|2024-03-20T21:59:12|2024-03-20T22:43:21|1|16|shadowfax
405131|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|CANCELLED by 3581|2024-03-20T23:30:33|2024-03-20T23:30:59|1|16|shadowfax
405131.batch|batch||CANCELLED|2024-03-20T23:30:33|2024-03-20T23:31:00|1|16|shadowfax
405131.extern|extern||COMPLETED|2024-03-20T23:30:33|2024-03-20T23:30:59|1|16|shadowfax
405132|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-20T23:31:07|2024-03-21T00:11:31|1|16|shadowfax
405132.batch|batch||COMPLETED|2024-03-20T23:31:07|2024-03-21T00:11:31|1|16|shadowfax
405132.extern|extern||COMPLETED|2024-03-20T23:31:07|2024-03-21T00:11:31|1|16|shadowfax
408008|Doc2Vec_Embeddings_Train_Set_Only|jsteinhardt|COMPLETED|2024-03-21T10:10:52|2024-03-21T10:51:25|1|16|shadowfax
408008.batch|batch||COMPLETED|2024-03-21T10:10:52|2024-03-21T10:51:25|1|16|shadowfax
408008.extern|extern||COMPLETED|2024-03-21T10:10:52|2024-03-21T10:51:25|1|16|shadowfax
408022|Auto-Sklearn_Tabular_SCF_Sequential|jsteinhardt|COMPLETED|2024-03-21T11:20:18|2024-03-21T11:20:20|1|1|smokyquartz
408022.batch|batch||COMPLETED|2024-03-21T11:20:18|2024-03-21T11:20:20|1|1|smokyquartz
408022.extern|extern||COMPLETED|2024-03-21T11:20:18|2024-03-21T11:20:20|1|1|smokyquartz
408399|NER_Firm_Mentions|jsteinhardt|COMPLETED|2024-03-21T14:43:33|2024-03-21T14:46:06|1|1|balrog
408399.batch|batch||COMPLETED|2024-03-21T14:43:33|2024-03-21T14:46:06|1|1|balrog
408399.extern|extern||COMPLETED|2024-03-21T14:43:33|2024-03-21T14:46:06|1|1|balrog
410505|CLIP_Relabeled_Test|jsteinhardt|COMPLETED|2024-03-22T19:49:49|2024-03-22T19:50:36|1|16|shadowfax
410505.batch|batch||COMPLETED|2024-03-22T19:49:49|2024-03-22T19:50:36|1|16|shadowfax
410505.extern|extern||COMPLETED|2024-03-22T19:49:49|2024-03-22T19:50:36|1|16|shadowfax
410520|CLIP_Relabeled_Test|jsteinhardt|COMPLETED|2024-03-22T20:25:20|2024-03-22T20:25:31|1|16|shadowfax
410520.batch|batch||COMPLETED|2024-03-22T20:25:20|2024-03-22T20:25:31|1|16|shadowfax
410520.extern|extern||COMPLETED|2024-03-22T20:25:20|2024-03-22T20:25:31|1|16|shadowfax
410522|CLIP_Relabeled_Test|jsteinhardt|CANCELLED by 3581|2024-03-22T20:28:51|2024-03-22T20:57:08|1|16|shadowfax
410522.batch|batch||CANCELLED|2024-03-22T20:28:51|2024-03-22T20:57:23|1|16|shadowfax
410522.extern|extern||COMPLETED|2024-03-22T20:28:51|2024-03-22T20:57:08|1|16|shadowfax
410531|jupyterhub|standalone|CANCELLED by 3581|2024-03-22T20:49:21|2024-03-22T20:57:08|1|1|dorothy
410531.batch|batch||CANCELLED|2024-03-22T20:49:21|2024-03-22T20:57:38|1|1|dorothy
410531.extern|extern||COMPLETED|2024-03-22T20:49:21|2024-03-22T20:57:08|1|1|dorothy
